year,total (Inmates)
1900,17435    
1901,18980    
1902,19437    
1903,20795    
1904,21428    
1905,21525    
1906,21074    
1907,20926    
1908,22146    
1909,22018    
1910,20904    
1911,19797    
1912,19442    
1913,18236    
1914,15808    
1915,11311    
1916,10058    
1917,9660    
1918,9199    
1919,9683    
1920,11000    
1921,12179    
1922,11766    
1923,11148    
1924,10750    
1925,10509    
1926,10860    
1927,11179    
1928,11109    
1929,10861    
1930,11346    
1931,11676    
1932,12803    
1933,12986    
1934,12238    
1935,11306    
1936,10613    
1937,10562    
1938,11086    
1939,10326    
1940,9377    
1941,10635    
1942,12400    
1943,12790    
1944,12915    
1945,14708    
1946,15789    
1947,17067    
1948,19765    
1949,19879    
1950,20474    
1951,21780    
1952,23680    
1953,23610    
1954,22421    
1955,21134    
1956,20807    
1957,22602    
1958,25379    
1959,26623    
1960,27099    
1961,29025    
1962,31063    
1963,30896    
1964,29600    
1965,30421    
1966,33086    
1967,35009    
1968,32461    
1969,34667    
1970,39028    
1971,39708    
1972,38328    
1973,36774    
1974,36867    
1975,39820    
1976,41443    
1977,41570    
1978,41796    
1979,42220    
1980,42264    
1981,43311    
1982,43707    
1983,43462    
1984,43295    
1985,46233    
1986,46770    
1987,48426    
1988,48872    
1989,48500    
1990,44975    
1991,44809    
1992,44719    
1993,44552    
1994,48621    
1995,50962    
1996,55281    
1997,61114    
1998,65298    
1999,64771    
2000,64602    
2001,66301    
2002,70778    
2003,73038    
2004,74657    
2005,75979    
2006,78127    
2007,80216    
2008,82572    
2009,83559    
2010,84725    
2011,85951    
2012,86634    
2013,84249    
2014,85307    
2015,85626    
2016,85348    
2017,85668    
2018,83295    
